mention,best_cui,best_name,mapped
0,C3842591,0%,True
1,C0227032,1,True
1 centimeter,C0475210,Centimeter,True
1 lead,C0023175,Lead,True
1 wire,C0005978,Wire,True
10th,C0205444,10th,True
10th rib,C0035561,Rib,True
11th,C0205445,11th,True
2,C0227033,2,True
2 0,C3842591,0%,True
2 0 replaced,C0559956,Replaced,True
2 2 lower thoracic spine,C0037949,Spine,True
2 additional catheter,C0085590,Catheter,True
2 bridging devices,C0220819,devices,True
2 bronchial stents,C0038257,Stents,True
2 calcified,C0175895,Calcified,True
2 catheters,C0085590,Catheters,True
2 chest tubes,C1704474,Tubes,True
2 chondrosis,C1261982,Chondrosis,True
2 coiling,C0444764,coiling,True
2 components,C0449432,components,True
2 drainage catheters,C0085590,Catheters,True
2 etiologies,C0015127,etiologies,True
2 feeding device,C0699733,Device,True
2 feeding tubes,C1704474,Tubes,True
2 focal abnormalities,C0000769,abnormalities,True
2 focal areas,C0205146,areas,True
2 healing,C0043240,Healing,True
2 high,C3841722,2 - High,True
2 kinks,C0333177,kinks,True
2 lead,C0023175,Lead,True
2 lead pacemaker,C0030163,pacemaker,True
2 leads,C0181586,Leads,True
2 left - sided,C0205091,Left,True
2 low,C5203106,Low,True
2 moderate size,C0456389,Size,True
2 nasogastric tubes,C1704474,Tubes,True
2 of the 3 vertebrae,C0549207,Vertebrae,True
2 pacemaker,C0030163,pacemaker,True
2 pacer leads,C0181586,Leads,True
2 pigtail catheters,C0085590,Catheters,True
2 postoperative clips,C0175722,Clips,True
2 proximal,C4489236,Proximal,True
2 proximal in should be,C0014121,be,True
2 proximal would be,C0014121,be,True
2 right - sided,C0205090,Right,True
2 right - sided central,C1879652,Central -,True
2 small,C2827735,2+,True
2 subtotal opacification,C0449584,Opacification,True
2 trans,C0558141,Trans,True
2 transesophageal tubes,C1704474,Tubes,True
2 upper enteric drainage tubes,C1704474,Tubes,True
2 vertebrae,C0549207,Vertebrae,True
2nd,C0205436,2nd,True
3,C2827736,3+,True
"3 , 4 , 6 , and 7",C1828371,7,True
3 - channel,C1706095,Channel,True
3 - lead,C3841585,3 lead,True
3 catheters,C0085590,Catheters,True
3 chest tubes,C1704474,Tubes,True
3 indwelling tube,C0175730,Tube,True
3 leads,C0181586,Leads,True
3 pf,C0279387,PF,True
3 right - sided,C0205090,Right,True
3 severe,C3842510,3 - severe,True
3 thoracic vertebral,C0549207,Vertebral,True
3rd,C0205437,3rd,True
4,C0227037,4,True
4 right - sided,C0205090,Right,True
4 secure position,C0733755,Position,True
4th,C0205438,4th,True
5 hours,C1442467,5 hours,True
5 small,C5203119,5,True
5th,C0205439,5th,True
5th rib,C0035561,Rib,True
6 seen,C0205397,seen,True
6th rib,C0035561,Rib,True
7,C1828371,7,True
7 ste right rib,C0035561,Rib,True
7th rib,C0035561,Rib,True
7th ribs,C0035561,Ribs,True
8,C0205454,8,True
8 constant feature,C1514562,Feature,True
8 moderate,C0205454,8,True
8 parenchymal,C0682552,Parenchymal cell,True
8 pe positioning,C0733755,Positioning,True
